Entity,Code,Year,Annual area burnt by wildfires,Country Area,Normalized area burnt
Afghanistan,AFG,2020,29652,652230.0,0.05
Africa,,2020,243435410,,
Akrotiri and Dhekelia,OWID_AKD,2020,0,,
Aland Islands,ALA,2020,0,,
Albania,ALB,2020,34094,28748.0,1.19
Algeria,DZA,2020,274661,2381741.0,0.12
American Samoa,ASM,2020,0,199.0,0.0
Andorra,AND,2020,0,,
Angola,AGO,2020,33027396,1246700.0,26.49
Anguilla,AIA,2020,0,91.0,0.0
Antigua and Barbuda,ATG,2020,0,442.0,0.0
Argentina,ARG,2020,9715507,2780400.0,3.49
Armenia,ARM,2020,3900,29743.0,0.13
Aruba,ABW,2020,0,180.0,0.0
Asia,,2020,36863784,,
Australia,AUS,2020,18683630,7692024.0,2.43
Austria,AUT,2020,0,83871.0,0.0
Azerbaijan,AZE,2020,60917,86600.0,0.7
Bahamas,BHS,2020,36112,,
Bahrain,BHR,2020,0,765.0,0.0
Bangladesh,BGD,2020,290433,147570.0,1.97
Barbados,BRB,2020,0,430.0,0.0
Belarus,BLR,2020,75619,207600.0,0.36
Belgium,BEL,2020,127,30528.0,0.0
Belize,BLZ,2020,122773,22966.0,5.35
Benin,BEN,2020,1037099,112622.0,9.21
Bermuda,BMU,2020,0,54.0,0.0
Bhutan,BTN,2020,8059,38394.0,0.21
Bolivia,BOL,2020,7570460,1098581.0,6.89
Bonaire Sint Eustatius and Saba,BES,2020,0,,
Bosnia and Herzegovina,BIH,2020,119257,51209.0,2.33
Botswana,BWA,2020,1443178,582000.0,2.48
Bouvet Island,BVT,2020,0,,
Brazil,BRA,2020,37356150,8515767.0,4.39
British Indian Ocean Territory,IOT,2020,0,60.0,0.0
British Virgin Islands,VGB,2020,166,,
Brunei,BRN,2020,1947,5765.0,0.34
Bulgaria,BGR,2020,38466,110879.0,0.35
Burkina Faso,BFA,2020,1179768,272967.0,4.32
Burundi,BDI,2020,65028,27834.0,2.34
Cambodia,KHM,2020,4076690,181035.0,22.52
Cameroon,CMR,2020,4389725,475442.0,9.23
Canada,CAN,2020,611974,9984670.0,0.06
Cape Verde,CPV,2020,0,4033.0,0.0
Cayman Islands,CYM,2020,0,264.0,0.0
Central African Republic,CAF,2020,18434704,622984.0,29.59
Chad,TCD,2020,5819171,1284000.0,4.53
Chile,CHL,2020,353030,756102.0,0.47
China,CHN,2020,3030089,9640011.0,0.31
Christmas Island,CXR,2020,0,135.0,0.0
Cocos Islands,CCK,2020,0,,
Colombia,COL,2020,3402381,1141748.0,2.98
Comoros,COM,2020,1030,1862.0,0.55
Congo,COG,2020,1740073,342000,5.09
Cook Islands,COK,2020,0,236.0,0.0
Costa Rica,CRI,2020,111750,51100.0,2.19
Cote d'Ivoire,CIV,2020,2101639,,
Croatia,HRV,2020,21981,56594.0,0.39
Cuba,CUB,2020,791904,109884.0,7.21
Curacao,CUW,2020,0,,
Cyprus,CYP,2020,2329,9251.0,0.25
Czechia,CZE,2020,1995,,
Democratic Republic of Congo,COD,2020,47181270,2345409,20.12
Denmark,DNK,2020,0,43094.0,0.0
Djibouti,DJI,2020,460,23200.0,0.02
Dominica,DMA,2020,131,751.0,0.17
Dominican Republic,DOM,2020,51360,48671.0,1.06
East Timor,TLS,2020,42069,14874.0,2.83
Ecuador,ECU,2020,334385,276841.0,1.21
Egypt,EGY,2020,14452,1002450.0,0.01
El Salvador,SLV,2020,68161,21041.0,3.24
Equatorial Guinea,GNQ,2020,3933,28051.0,0.14
Eritrea,ERI,2020,60824,117600.0,0.52
Estonia,EST,2020,0,45227.0,0.0
Eswatini,SWZ,2020,84868,,
Ethiopia,ETH,2020,5619382,1104300.0,5.09
Europe,,2020,18501448,,
Falkland Islands,FLK,2020,142,12173.0,0.01
Faroe Islands,FRO,2020,0,1393.0,0.0
Fiji,FJI,2020,20445,18272.0,1.12
Finland,FIN,2020,1253,338424.0,0.0
France,FRA,2020,31365,640679.0,0.05
French Guiana,GUF,2020,21009,,
French Polynesia,PYF,2020,0,4167.0,0.0
French Southern Territories,ATF,2020,0,,
Gabon,GAB,2020,210204,267668.0,0.79
Gambia,GMB,2020,129342,,
Georgia,GEO,2020,40610,69700.0,0.58
Germany,DEU,2020,2621,357114.0,0.01
Ghana,GHA,2020,6004830,238533.0,25.17
Gibraltar,GIB,2020,0,6.0,0.0
Greece,GRC,2020,34811,131990.0,0.26
Greenland,GRL,2020,475,2166086.0,0.0
Grenada,GRD,2020,0,344.0,0.0
Guadeloupe,GLP,2020,0,,
Guam,GUM,2020,278,549.0,0.51
Guatemala,GTM,2020,622628,108889.0,5.72
Guernsey,GGY,2020,0,78.0,0.0
Guinea,GIN,2020,6998378,245857.0,28.47
Guinea-Bissau,GNB,2020,492330,36125.0,13.63
Guyana,GUY,2020,163908,214969.0,0.76
Haiti,HTI,2020,21196,27750.0,0.76
Heard Island and McDonald Islands,HMD,2020,0,412.0,0.0
Honduras,HND,2020,1754450,112492.0,15.6
Hong Kong,HKG,2020,414,1104.0,0.38
Hungary,HUN,2020,7448,93028.0,0.08
Iceland,ISL,2020,606,103000.0,0.01
India,IND,2020,5348453,3287590.0,1.63
Indonesia,IDN,2020,903265,1904569.0,0.47
Iran,IRN,2020,506242,1648195.0,0.31
Iraq,IRQ,2020,556646,438317.0,1.27
Ireland,IRL,2020,3901,70273.0,0.06
Isle of Man,IMN,2020,0,572.0,0.0
Israel,ISR,2020,7260,20770.0,0.35
Italy,ITA,2020,108044,301336.0,0.36
Jamaica,JAM,2020,9622,10991.0,0.88
Japan,JPN,2020,16543,377930.0,0.04
Jersey,JEY,2020,0,116.0,0.0
Jordan,JOR,2020,1840,89342.0,0.02
Kazakhstan,KAZ,2020,2554482,2724900.0,0.94
Kenya,KEN,2020,431060,580367.0,0.74
Kiribati,KIR,2020,0,811.0,0.0
Kosovo,OWID_KOS,2020,14743,,
Kuwait,KWT,2020,1113,17818.0,0.06
Kyrgyzstan,KGZ,2020,8440,199951.0,0.04
Laos,LAO,2020,4660381,236800.0,19.68
Latvia,LVA,2020,621,64559.0,0.01
Lebanon,LBN,2020,5314,10452.0,0.51
Lesotho,LSO,2020,17122,30355.0,0.56
Liberia,LBR,2020,545777,111369.0,4.9
Libya,LBY,2020,7532,1759540.0,0.0
Liechtenstein,LIE,2020,0,160.0,0.0
Lithuania,LTU,2020,646,65300.0,0.01
Luxembourg,LUX,2020,0,2586.0,0.0
Macao,MAC,2020,0,,
