Entity,Code,Year,Annual area burnt by wildfires,Country Area,Normalized area burnt,Average surface temperature,Average precipitation in depth (mm per year)
Afghanistan,AFG,2020,29652,652230.0,0.0454624902258405,12.36,327.0
Africa,,2020,243435410,,,,
Akrotiri and Dhekelia,OWID_AKD,2020,0,,,,
Aland Islands,ALA,2020,0,,,,
Albania,ALB,2020,34094,28748.0,1.1859607624878252,13.34,1485.0
Algeria,DZA,2020,274661,2381741.0,0.1153194239004157,24.73,89.0
American Samoa,ASM,2020,0,199.0,0.0,26.99,
Andorra,AND,2020,0,,,5.85,
Angola,AGO,2020,33027396,1246700.0,26.491855297986685,22.63,1010.0
Anguilla,AIA,2020,0,91.0,0.0,26.48,
Antigua and Barbuda,ATG,2020,0,442.0,0.0,26.46,1030.0
Argentina,ARG,2020,9715507,2780400.0,3.494283915983312,15.25,591.0
Armenia,ARM,2020,3900,29743.0,0.1311232895134989,7.1,562.0
Aruba,ABW,2020,0,180.0,0.0,,
Asia,,2020,36863784,,,,
Australia,AUS,2020,18683630,7692024.0,2.428961480099386,22.58,534.0
Austria,AUT,2020,0,83871.0,0.0,7.72,1110.0
Azerbaijan,AZE,2020,60917,86600.0,0.7034295612009238,12.65,447.0
Bahamas,BHS,2020,36112,,,26.11,1292.0
Bahrain,BHR,2020,0,765.0,0.0,26.6,83.0
Bangladesh,BGD,2020,290433,147570.0,1.968103273022972,25.39,2666.0
Barbados,BRB,2020,0,430.0,0.0,,1422.0
Belarus,BLR,2020,75619,207600.0,0.3642533718689788,9.11,618.0
Belgium,BEL,2020,127,30528.0,0.0041601153039832,11.55,847.0
Belize,BLZ,2020,122773,22966.0,5.345859096055038,26.46,1705.0
Benin,BEN,2020,1037099,112622.0,9.208671485145,27.87,1039.0
Bermuda,BMU,2020,0,54.0,0.0,,
Bhutan,BTN,2020,8059,38394.0,0.2099025889461895,8.56,2200.0
Bolivia,BOL,2020,7570460,1098581.0,6.891125916068091,21.08,1146.0
Bonaire Sint Eustatius and Saba,BES,2020,0,,,,
Bosnia and Herzegovina,BIH,2020,119257,51209.0,2.32882891679197,11.11,1028.0
Botswana,BWA,2020,1443178,582000.0,2.479687285223368,22.03,416.0
Bouvet Island,BVT,2020,0,,,,
Brazil,BRA,2020,37356150,8515767.0,4.3867040984094565,25.19,1761.0
British Indian Ocean Territory,IOT,2020,0,60.0,0.0,,
British Virgin Islands,VGB,2020,166,,,,
Brunei,BRN,2020,1947,5765.0,0.3377276669557675,26.87,2722.0
Bulgaria,BGR,2020,38466,110879.0,0.3469187131918578,12.34,608.0
Burkina Faso,BFA,2020,1179768,272967.0,4.322016947103496,28.99,748.0
Burundi,BDI,2020,65028,27834.0,2.336279370553999,21.34,1274.0
Cambodia,KHM,2020,4076690,181035.0,22.5187947082056,27.73,1904.0
Cameroon,CMR,2020,4389725,475442.0,9.232934826961015,25.17,1604.0
